Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 36542,  2215,
0:00.20, 36551,  2123,
0:00.40, 36562,  1438,
0:00.60, 36562,  2247,
0:00.80, 36577,  2180,
0:01.00, 36592,  1884,
0:01.20, 36602,  2190,
0:01.40, 36608,  1952,
0:01.60, 36611,  1957,
0:01.80, 36611,  3078,
0:02.00, 36612,  2206,
0:02.20, 36611,  2014,
0:02.40, 36610,  2050,
0:02.60, 36612,  2135,
0:02.80, 36612,  1847,
0:03.00, 36615,  2006,
0:03.20, 36618,  2152,
0:03.40, 36617,  2273,
0:03.60, 36615,  1962,
0:03.80, 36615,  2035,
0:04.00, 36612,  1977,
0:04.20, 36607,  2156,
0:04.40, 36601,  1818,
0:04.60, 36592,  1997,
0:04.80, 36582,  2430,
0:05.00, 36582,  2276,
0:05.20, 36572,  1960,
0:05.40, 36564,  2153,
0:05.60, 36557,  2006,
0:05.80, 36552,  2239,
0:06.00, 36552,  2191,
0:06.20, 36547,  1878,
0:06.40, 36544,  2292,
0:06.60, 36539,  1942,
0:06.80, 36534,  2080,
0:07.00, 36531,  2013,
0:07.20, 36531,  2022,
0:07.40, 36530,  2140,
0:07.60, 36530,  2071,
0:07.80, 36530,  2479,
0:08.00, 36530,  2091,
0:08.20, 36530,  1885,
0:08.40, 36528,  2286,
0:08.60, 36527,  2162,
0:08.80, 36526,  3003,
0:09.00, 36523,  2305,
0:09.20, 36519,  1963,
0:09.40, 36519,  2044,
0:09.60, 36514,  2159,
0:09.80, 36508,  1903,
0:10.00, 36506,  1878,
0:10.20, 36508,  2204,
0:10.40, 36508,  1898,
0:10.60, 36516,  2048,
0:10.80, 36531,  2267,
0:11.00, 36551,  2026,
0:11.20, 36572,  2080,
0:11.40, 36572,  2124,
0:11.60, 36591,  2025,
0:11.80, 36605,  1803,
0:12.00, 36615,  2192,
0:12.20, 36620,  1985,
0:12.40, 36621,  1988,
0:12.60, 36621,  1852,
0:12.80, 36618,  1835,
0:13.00, 36613,  1860,
0:13.20, 36606,  1768,
0:13.40, 36598,  1812,
0:13.60, 36598,  2236,
0:13.80, 36592,  2508,
0:14.00, 36587,  2306,
0:14.20, 36582,  2260,
0:14.40, 36577,  2347,
0:14.60, 36573,  1984,
0:14.80, 36573,  3040,
0:15.00, 36568,  2253,
0:15.20, 36564,  1987,
0:15.40, 36561,  3085,
0:15.60, 36559,  2241,
0:15.80, 36559,  2150,
0:16.00, 36556,  1450,
0:16.20, 36552,  2242,
0:16.40, 36549,  2097,
0:16.60, 36545,  1968,
0:16.80, 36545,  2070,
0:17.00, 36541,  1813,
0:17.20, 36537,  2030,
0:17.40, 36533,  1979,
0:17.60, 36530,  1836,
0:17.80, 36527,  2041,
0:18.00, 36527,  1907,
0:18.20, 36524,  2005,
0:18.40, 36521,  2263,
0:18.60, 36517,  2104,
0:18.80, 36514,  1959,
0:19.00, 36514,  2343,
0:19.20, 36511,  2285,
0:19.40, 36509,  1930,
0:19.60, 36507,  2284,
0:19.80, 36492,  2189,
0:20.00, 36466,  2322,
0:20.20, 36466,  2094,
0:20.40, 36456,  2150,
0:20.60, 36454,  1779,
0:20.80, 36466,  2279,
0:21.00, 36489,  2443,
0:21.20, 36489,  2288,
0:21.40, 36494,  2481,
0:21.60, 36490,  2204,
0:21.80, 36487,  2153,
0:22.00, 36485,  2104,
0:22.20, 36495,  2044,
0:22.40, 36495,  1985,
0:22.60, 36517,  2010,
0:22.80, 36546,  2004,
0:23.00, 36582,  2298,
0:23.20, 36618,  2016,
0:23.40, 36618,  2214,
0:23.60, 36647,  2266,
0:23.80, 36669,  2070,
0:24.00, 36680,  1858,
0:24.20, 36681,  2418,
0:24.40, 36681,  2126,
0:24.60, 36677,  2050,
0:24.80, 36674,  2409,
0:25.00, 36672,  2045,
0:25.20, 36672,  2256,
0:25.40, 36669,  2107,
0:25.60, 36669,  2117,
0:25.80, 36661,  1837,
0:26.00, 36647,  2172,
0:26.20, 36629,  2024,
