Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 34485,  2067,
0:00.20, 34516,  1938,
0:00.40, 34534,  2095,
0:00.60, 34543,  2159,
0:00.80, 34541,  2298,
0:01.00, 34541,  1978,
0:01.20, 34534,  2013,
0:01.40, 34527,  2044,
0:01.60, 34521,  1949,
0:01.80, 34509,  2006,
0:02.00, 34499,  3114,
0:02.20, 34499,  2199,
0:02.40, 34487,  1821,
0:02.60, 34474,  2008,
0:02.80, 34459,  2076,
0:03.00, 34440,  1967,
0:03.20, 34440,  2160,
0:03.40, 34416,  2485,
0:03.60, 34390,  2332,
0:03.80, 34365,  2141,
0:04.00, 34338,  2126,
0:04.20, 34313,  2014,
0:04.40, 34313,  2259,
0:04.60, 34285,  2201,
0:04.80, 34254,  3060,
0:05.00, 34229,  2244,
0:05.20, 34199,  2087,
0:05.40, 34199,  2156,
0:05.60, 34170,  2235,
0:05.80, 34151,  1124,
0:06.00, 34125,  2531,
0:06.20, 34083,  2477,
0:06.40, 34083,  2817,
0:06.60, 34024,  2665,
0:06.80, 33932,  2979,
0:07.00, 33834,  2608,
0:07.20, 33760,  3278,
0:07.40, 33710,  3142,
0:07.60, 33710,  3071,
0:07.80, 33684,  2207,
0:08.00, 33669,  2012,
0:08.20, 33660,  1863,
0:08.40, 33647,  2514,
0:08.60, 33647,  2195,
0:08.80, 33628,  2165,
0:09.00, 33605,  2047,
0:09.20, 33581,  2003,
0:09.40, 33562,  2028,
0:09.60, 33552,  1701,
0:09.80, 33552,  1637,
0:10.00, 33547,  1822,
0:10.20, 33538,  1815,
0:10.40, 33528,  2891,
0:10.60, 33518,  2133,
0:10.80, 33518,  2061,
0:11.00, 33505,  2048,
0:11.20, 33485,  1991,
0:11.40, 33462,  2076,
0:11.60, 33436,  1739,
0:11.80, 33412,  1807,
0:12.00, 33412,  2291,
0:12.20, 33393,  1982,
0:12.40, 33378,  1773,
0:12.60, 33364,  2059,
0:12.80, 33349,  2219,
0:13.00, 33349,  1849,
0:13.20, 33332,  1624,
0:13.40, 33306,  2132,
0:13.60, 33297,  2165,
0:13.80, 33295,  2136,
0:14.00, 33295,  2012,
0:14.20, 33287,  3489,
0:14.40, 33287,  3492,
0:14.60, 33278,  2830,
0:14.80, 33273,  2366,
0:15.00, 33273,  2109,
0:15.20, 33273,  1700,
0:15.40, 33267,  1679,
0:15.60, 33250,  1973,
0:15.80, 33228,  1919,
0:16.00, 33212,  2261,
0:16.20, 33212,  2267,
0:16.40, 33206,  2176,
0:16.60, 33202,  2211,
0:16.80, 33208,  1694,
0:17.00, 33222,  1654,
0:17.20, 33245,  2090,
0:17.40, 33245,  1791,
0:17.60, 33282,  1862,
0:17.80, 33318,  1820,
0:18.00, 33368,  1889,
0:18.20, 33438,  1852,
0:18.40, 33438,  1818,
0:18.60, 33525,  2015,
0:18.80, 33626,  1912,
0:19.00, 33724,  1927,
0:19.20, 33816,  2477,
0:19.40, 33816,  2038,
0:19.60, 33894,  2177,
0:19.80, 33954,  2066,
0:20.00, 33992,  1814,
0:20.20, 34013,  1812,
0:20.40, 34024,  3993,
0:20.60, 34024,  4007,
0:20.80, 34008,  3963,
0:21.00, 33932,  2409,
0:21.20, 33806,  1736,
0:21.40, 33649,  1655,
0:21.60, 33649,  1293,
0:21.80, 33510,  1345,
0:22.00, 33418,  1667,
0:22.20, 33360,  1808,
0:22.40, 33347,  1648,
0:22.60, 33380,  2088,
0:22.80, 33380,  2021,
0:23.00, 33448,  1633,
0:23.20, 33549,  1835,
0:23.40, 33644,  2167,
0:23.60, 33712,  1851,
0:23.80, 33712,  1869,
0:24.00, 33761,  2072,
0:24.20, 33792,  1835,
0:24.40, 33811,  2341,
0:24.60, 33819,  1853,
0:24.80, 33824,  1909,
0:25.00, 33824,  2378,
0:25.20, 33825,  2187,
0:25.40, 33826,  1884,
0:25.60, 33826,  1874,
0:25.80, 33824,  1982,
0:26.00, 33824,  2365,
0:26.20, 33823,  2073,
0:26.40, 33821,  1844,
0:26.60, 33816,  1970,
0:26.80, 33810,  1799,
0:27.00, 33810,  1941,
0:27.20, 33803,  1918,
0:27.40, 33796,  1994,
0:27.60, 33789,  1801,
0:27.80, 33778,  1811,
0:28.00, 33766,  1948,
0:28.20, 33766,  1997,
0:28.40, 33752,  1944,
0:28.60, 33737,  2145,
0:28.80, 33726,  2673,
0:29.00, 33697,  2804,
0:29.20, 33697,  2030,
0:29.40, 33601,  1909,
0:29.60, 33486,  1227,
0:29.80, 33387,  2612,
0:30.00, 33329,  2047,
0:30.20, 33367,  2208,
0:30.40, 33367,  1978,
0:30.60, 33440,  1813,
0:30.80, 33503,  1978,
0:31.00, 33547,  2037,
0:31.20, 33563,  2198,
0:31.40, 33563,  1654,
0:31.60, 33563,  2008,
0:31.80, 33558,  2020,
0:32.00, 33552,  1967,
0:32.20, 33544,  2145,
0:32.40, 33544,  1912,
0:32.60, 33534,  2164,
0:32.80, 33523,  2023,
0:33.00, 33511,  2074,
0:33.20, 33498,  1931,
