Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 32316,  2076,
0:00.20, 32316,  2276,
0:00.40, 32268,  2141,
0:00.60, 32203,  2308,
0:00.80, 32119,  1973,
0:01.00, 32037,  2560,
0:01.20, 32037,  2016,
0:01.40, 31979,  2389,
0:01.60, 31938,  1284,
0:01.80, 31911,  1270,
0:02.00, 31887,  1958,
0:02.20, 31887,  2142,
0:02.40, 31876,  2449,
0:02.60, 31880,  2267,
0:02.80, 31890,  2217,
0:03.00, 31912,  2244,
0:03.20, 31924,  2137,
0:03.40, 31924,  2268,
0:03.60, 31927,  2411,
0:03.80, 31929,  2664,
0:04.00, 31923,  2378,
0:04.20, 31918,  2308,
0:04.40, 31918,  2275,
0:04.60, 31913,  2227,
0:04.80, 31907,  2195,
0:05.00, 31898,  2057,
0:05.20, 31883,  2537,
0:05.40, 31874,  2070,
0:05.60, 31874,  2157,
0:05.80, 31868,  2317,
0:06.00, 31867,  2217,
0:06.20, 31879,  2190,
0:06.40, 31889,  2134,
0:06.60, 31889,  2370,
0:06.80, 31908,  2340,
0:07.00, 31929,  2008,
0:07.20, 31933,  2432,
0:07.40, 31931,  2170,
0:07.60, 31918,  1980,
0:07.80, 31918,  2161,
0:08.00, 31901,  2214,
0:08.20, 31893,  2305,
0:08.40, 31887,  2142,
0:08.60, 31883,  2336,
0:08.80, 31883,  2330,
0:09.00, 31883,  3163,
0:09.20, 31886,  2448,
0:09.40, 31890,  2207,
0:09.60, 31897,  2124,
0:09.80, 31897,  2251,
0:10.00, 31899,  2089,
0:10.20, 31899,  2238,
0:10.40, 31895,  2135,
0:10.60, 31883,  2386,
0:10.80, 31866,  2155,
0:11.00, 31866,  1824,
0:11.20, 31846,  2534,
0:11.40, 31828,  2134,
0:11.60, 31819,  2262,
0:11.80, 31818,  2251,
0:12.00, 31818,  2220,
0:12.20, 31819,  2173,
0:12.40, 31823,  2133,
0:12.60, 31826,  2177,
0:12.80, 31828,  2138,
0:13.00, 31829,  1892,
0:13.20, 31829,  2347,
0:13.40, 31829,  2110,
0:13.60, 31830,  2143,
0:13.80, 31833,  2173,
0:14.00, 31837,  1993,
0:14.20, 31837,  2097,
